line,status,identifier,aircon,display_eligible,reason
1,success,336956,0,0,
2,success,363908,0,0,
3,success,363910,0,0,
4,success,363969,0,0,
5,success,336955,0,0,
6,success,336954,0,0,
7,success,368515,0,0,
8,success,368514,0,0,
9,success,363967,0,0,
10,success,336957,0,0,
11,success,363970,0,0,
12,success,336952,0,0,
13,success,363968,0,0,
14,success,363909,0,0,
15,success,336959,0,0,
16,success,366973,0,0,
17,success,193527,0,0,
18,success,360607,0,0,
19,success,360604,0,0,
20,success,360619,0,0,
21,success,360617,0,0,
22,success,344624,0,0,
23,success,344424,0,0,
24,success,360612,0,0,
25,success,360661,0,0,
26,success,344621,0,0,
27,success,358531,0,0,
28,success,360602,0,0,
29,success,212248,0,0,
30,success,332904,0,0,
31,success,360616,0,0,
32,success,354273,0,0,
33,success,333420,0,0,
34,success,149425,0,0,
35,success,292010,0,0,
36,success,331139,0,0,
37,success,358557,0,0,
38,success,360064,0,0,
39,success,331137,0,0,
40,success,360608,0,0,
41,success,358523,0,0,
42,success,333419,0,0,
43,success,298839,0,0,
44,success,360614,0,0,
45,success,344622,0,0,
46,success,360620,0,0,
47,success,360611,0,0,
48,success,354272,0,0,
49,success,360621,0,0,
50,success,344625,0,0,
51,success,360613,0,0,
52,success,344623,0,0,
53,success,331138,0,0,
54,success,360622,0,0,
55,success,360066,0,0,
56,success,360603,0,0,
57,success,354269,0,0,
58,success,360610,0,0,
59,success,360606,0,0,
60,success,360609,0,0,
61,success,358547,0,0,
62,success,360065,0,0,
63,success,329122,0,0,
64,success,360615,0,0,
65,success,344620,0,0,
66,success,193525,0,0,
67,success,360618,0,0,
68,success,360605,0,0,
69,success,364717,0,0,
70,success,333846,0,0,
71,success,338044,0,0,
72,success,308614,0,0,
73,success,115119,0,0,
74,success,333849,0,0,
75,success,326839,0,0,
76,success,326837,0,0,
77,success,333848,0,0,
78,success,115105,0,0,
79,success,275511,0,0,
80,success,333850,0,0,
81,success,308655,0,0,
82,success,308615,0,0,
83,success,308612,0,0,
84,success,308651,0,0,
85,success,308648,0,0,
86,success,308683,0,0,
87,success,115120,0,0,
88,success,359523,0,0,
89,success,299278,0,0,
90,success,338046,0,0,
91,success,333845,0,0,
92,success,338047,0,0,
93,success,368918,0,0,
94,success,115121,0,0,
95,success,308682,0,0,
96,success,274069,0,0,
97,success,115110,0,0,
98,success,368869,0,0,
99,success,308611,0,0,
100,success,278515,0,0,
101,success,274070,0,0,
102,success,359542,0,0,
103,success,333851,0,0,
104,success,302938,0,0,
105,success,338045,0,0,
106,success,368936,0,0,
107,success,308654,0,0,
108,success,308613,0,0,
109,success,308653,0,0,
110,success,359525,0,0,
111,success,275516,0,0,
112,success,326836,0,0,
113,success,308652,0,0,
114,success,308649,0,0,
115,success,326835,0,0,
116,success,359531,0,0,
117,success,333847,0,0,
118,success,308610,0,0,
119,success,308650,0,0,
120,success,115125,0,0,
121,success,364739,0,0,
122,success,364734,0,0,
123,success,293695,0,0,
124,success,342274,0,0,
125,success,307875,0,0,
126,success,334157,0,0,
127,success,363252,0,0,
128,success,363250,0,0,
129,success,320999,0,0,
130,success,307878,0,0,
131,success,235383,0,0,
132,success,335921,0,0,
133,success,335920,0,0,
134,success,235848,0,0,
135,success,342275,0,0,
136,success,365000,0,0,
137,success,362930,0,0,
138,success,342177,0,0,
139,success,321979,0,0,
140,success,271732,0,0,
141,success,199117,0,0,
142,success,369001,0,0,
143,success,335919,0,0,
144,success,220498,0,0,
145,success,321970,0,0,
146,success,320997,0,0,
147,success,320996,0,0,
148,success,320998,0,0,
149,success,272138,0,0,
150,success,321978,0,0,
151,success,321770,0,0,
152,success,362934,0,0,
153,success,237612,0,0,
154,success,342272,0,0,
155,success,369002,0,0,
156,success,334155,0,0,
157,success,369004,0,0,
158,success,334158,0,0,
159,success,218304,0,0,
160,success,334156,0,0,
161,success,218312,0,0,
162,success,319779,0,0,
163,success,307876,0,0,
164,success,364254,0,0,
165,success,342214,0,0,
166,success,362698,0,0,
167,success,369003,0,0,
168,success,321769,0,0,
169,success,334292,0,0,
170,success,358500,0,0,
171,success,337632,0,0,
172,success,279067,0,0,
173,success,329526,0,0,
174,success,325215,0,0,
175,success,359599,0,0,
176,success,335199,0,0,
177,success,326015,0,0,
178,success,110073,0,0,
179,success,339273,0,0,
180,success,320908,0,0,
181,success,305507,0,0,
182,success,359965,0,0,
183,success,351670,0,0,
184,success,305508,0,0,
185,success,249200,0,0,
186,success,364184,0,0,
187,success,340622,0,0,
188,success,358294,0,0,
189,success,369340,0,0,
190,success,366709,0,0,
191,success,327624,0,0,
192,success,363459,0,0,
193,success,366708,0,0,
194,success,358292,0,0,
195,success,358293,0,0,
196,success,326014,0,0,
197,success,358296,0,0,
198,success,363458,0,0,
199,success,323129,0,0,
200,success,342370,0,0,
201,success,326128,0,0,
202,success,359720,0,0,
203,success,358506,0,0,
204,success,354794,0,0,
205,success,364179,0,0,
206,success,340386,0,0,
207,success,358501,0,0,
208,success,358503,0,0,
209,success,358295,0,0,
210,success,326127,0,0,
211,success,304606,0,0,
212,success,369339,0,0,
213,success,325224,0,0,
214,success,358291,0,0,
215,success,326013,0,0,
216,success,359718,0,0,
217,success,341684,0,0,
218,success,247536,0,0,
219,success,354795,0,0,
220,success,296253,0,0,
221,success,364185,0,0,
222,success,358452,0,0,
223,success,368306,0,0,
224,success,359719,0,0,
225,success,325223,0,0,
226,success,360380,0,0,
